"expr","time","model","times"
"des",49230333891,"DES (10mil)",49.230333891
"des",48447890378,"DES (10mil)",48.447890378
"des",48184956957,"DES (10mil)",48.184956957
"des",48051248067,"DES (10mil)",48.051248067
"des",48188272155,"DES (10mil)",48.188272155
"des",48086284541,"DES (10mil)",48.086284541
"des",48259336152,"DES (10mil)",48.259336152
"des",47975430780,"DES (10mil)",47.97543078
"des",47940315473,"DES (10mil)",47.940315473
"des",47809998577,"DES (10mil)",47.809998577
"des",48524489432,"DES (10mil)",48.524489432
"des",48642785614,"DES (10mil)",48.642785614
"des",49066335216,"DES (10mil)",49.066335216
"des",48191102077,"DES (10mil)",48.191102077
"des",48339038194,"DES (10mil)",48.339038194
"des",48236302005,"DES (10mil)",48.236302005
"des",48534258993,"DES (10mil)",48.534258993
"des",48854007277,"DES (10mil)",48.854007277
"des",47851633956,"DES (10mil)",47.851633956
"des",48506198585,"DES (10mil)",48.506198585
"des",48714497410,"DES (10mil)",48.71449741
"des",48242709396,"DES (10mil)",48.242709396
"des",48047704129,"DES (10mil)",48.047704129
"des",47900834657,"DES (10mil)",47.900834657
"markov",146177454,"MARKOV-Y",0.146177454
"markov",7039728,"MARKOV-Y",0.007039728
"markov",7051130,"MARKOV-Y",0.00705113
"markov",7800521,"MARKOV-Y",0.007800521
"markov",8031078,"MARKOV-Y",0.008031078
"markov",7995930,"MARKOV-Y",0.00799593
"markov",9095642,"MARKOV-Y",0.009095642
"markov",6899588,"MARKOV-Y",0.006899588
"markov",6937602,"MARKOV-Y",0.006937602
"markov",6924111,"MARKOV-Y",0.006924111
"markov",6967465,"MARKOV-Y",0.006967465
"markov",6975203,"MARKOV-Y",0.006975203
"markov",6935419,"MARKOV-Y",0.006935419
"markov",6914402,"MARKOV-Y",0.006914402
"markov",7303530,"MARKOV-Y",0.00730353
"markov",7309031,"MARKOV-Y",0.007309031
"markov",7486199,"MARKOV-Y",0.007486199
"markov",7623938,"MARKOV-Y",0.007623938
"markov",7693925,"MARKOV-Y",0.007693925
"markov",9734225,"MARKOV-Y",0.009734225
"markov",6843734,"MARKOV-Y",0.006843734
"markov",6869184,"MARKOV-Y",0.006869184
"markov",6999745,"MARKOV-Y",0.006999745
"markov",7021889,"MARKOV-Y",0.007021889
"markov",7066567,"MARKOV-Y",0.007066567
"markov",7020233,"MARKOV-Y",0.007020233
"markov",6998528,"MARKOV-Y",0.006998528
